x;y;speed;lookahead
-10.979169742935767;-2.71;4.0;1.5
-10.974202966642057;-2.71;4.0;1.5
-10.969236190348346;-2.71;4.0;1.5
-10.964269414054634;-2.71;4.0;1.5
-10.959302637760924;-2.71;4.0;1.5
-10.954335861467213;-2.71;4.0;1.5
-10.949369085173501;-2.71;4.0;1.5
-10.944402308879791;-2.71;4.0;1.5
-10.93943553258608;-2.71;4.0;1.5
-10.934468756292368;-2.71;4.0;1.5
-10.929501979998658;-2.71;4.0;1.5
-10.924535203704947;-2.71;4.0;1.5
-10.919568427411235;-2.71;4.0;1.5
-10.914601651117524;-2.71;4.0;1.5
-10.909634874823814;-2.71;4.0;1.5
-10.904668098530102;-2.71;4.0;1.5
-10.89970132223639;-2.71;4.0;1.5
-10.894734545942681;-2.71;4.0;1.5
-10.88976776964897;-2.71;4.0;1.5
-10.884800993355258;-2.71;4.0;1.5
-10.879834217061548;-2.71;4.0;1.5
-10.874867440767837;-2.71;4.0;1.5
-10.869900664474125;-2.71;4.0;1.5
-10.864933888180415;-2.71;4.0;1.5
-10.859967111886704;-2.71;4.0;1.5
-10.855000335592992;-2.71;4.0;1.5
-10.850033559299282;-2.71;4.0;1.5
-10.84506678300557;-2.710986643398886;4.0;1.5
-10.84010000671186;-2.711979998657628;4.0;1.5
-10.83513323041815;-2.7129733539163703;4.0;1.5
-10.830166454124438;-2.7139667091751125;4.0;1.5
-10.825199677830726;-2.7149600644338547;4.0;1.5
-10.820232901537015;-2.715953419692597;4.0;1.5
-10.815266125243305;-2.716946774951339;4.0;1.5
-10.810299348949593;-2.717940130210081;4.0;1.5
-10.805332572655882;-2.7189334854688236;4.0;1.5
-10.800365796362172;-2.7199268407275654;4.0;1.5
-10.79539902006846;-2.7209201959863076;4.0;1.5
-10.790432243774749;-2.72191355124505;4.0;1.5
-10.785465467481039;-2.722906906503792;4.0;1.5
-10.780498691187328;-2.7239002617625343;4.0;1.5
-10.775531914893616;-2.7248936170212765;4.0;1.5
-10.770565138599906;-2.7258869722800187;4.0;1.5
-10.765598362306195;-2.726880327538761;4.0;1.5
-10.760631586012483;-2.727873682797503;4.0;1.5
-10.755664809718773;-2.7288670380562454;4.0;1.5
-10.750698033425062;-2.7298603933149876;4.0;1.5
-10.74573125713135;-2.73085374857373;4.0;1.5
-10.74076448083764;-2.731847103832472;4.0;1.5
-10.735797704543929;-2.7328404590912143;4.0;1.5
-10.730830928250217;-2.7338338143499565;4.0;1.5
-10.725864151956507;-2.7348271696086988;4.0;1.5
-10.720897375662796;-2.735820524867441;4.0;1.5
-10.715930599369084;-2.736813880126183;4.0;1.5
-10.710963823075375;-2.7378072353849254;4.0;1.5
-10.705997046781663;-2.7388005906436677;4.0;1.5
-10.701030270487951;-2.7397939459024094;4.0;1.5
-10.696063494194242;-2.7407873011611517;4.0;1.5
-10.69109671790053;-2.741780656419894;4.0;1.5
-10.686129941606819;-2.742774011678636;4.0;1.5
-10.681163165313109;-2.7437673669373783;4.0;1.5
-10.676196389019397;-2.7447607221961206;4.0;1.5
-10.671229612725686;-2.7457540774548628;4.0;1.5
-10.666262836431976;-2.746747432713605;4.0;1.5
-10.661296060138264;-2.747740787972347;4.0;1.5
-10.656329283844553;-2.7487341432310894;4.0;1.5
-10.651362507550843;-2.7497274984898317;4.0;1.5
-10.646395731257131;-2.750720853748574;4.0;1.5
-10.64142895496342;-2.751714209007316;4.0;1.5
-10.63646217866971;-2.7527075642660583;4.0;1.5
-10.631495402375998;-2.7537009195248006;4.0;1.5
-10.626528626082287;-2.754694274783543;4.0;1.5
-10.621561849788577;-2.755687630042285;4.0;1.5
-10.616595073494866;-2.7566809853010272;4.0;1.5
-10.611628297201154;-2.7576743405597695;4.0;1.5
-10.606661520907444;-2.7586676958185117;4.0;1.5
-10.601694744613733;-2.759661051077254;4.0;1.5
-10.596727968320021;-2.760654406335996;4.0;1.5
-10.59176119202631;-2.7616477615947383;4.0;1.5
-10.5867944157326;-2.76264111685348;4.0;1.5
-10.581827639438888;-2.7636344721122224;4.0;1.5
-10.576860863145177;-2.7646278273709646;4.0;1.5
-10.571894086851467;-2.765621182629707;4.0;1.5
-10.566927310557755;-2.766614537888449;4.0;1.5
-10.561960534264044;-2.7676078931471912;4.0;1.5
-10.556993757970334;-2.7686012484059335;4.0;1.5
-10.552026981676622;-2.7695946036646757;4.0;1.5
-10.54706020538291;-2.770587958923418;4.0;1.5
-10.542093429089201;-2.77158131418216;4.0;1.5
-10.53712665279549;-2.7725746694409024;4.0;1.5
-10.532159876501778;-2.7735680246996446;4.0;1.5
-10.527193100208068;-2.774561379958387;4.0;1.5
-10.522226323914357;-2.775554735217129;4.0;1.5
-10.517259547620645;-2.7765480904758713;4.0;1.5
-10.512292771326935;-2.7775414457346135;4.0;1.5
